_CurrencyCode|text|HoldingDetail_Id|LocalMarketValue_Id|DataEffectiveDT|DataObjectInstanceVersionKey
USD||19862|564|2014-06-10|62903
USD||19863|565|2014-06-10|62903
USD||19864|566|2014-06-10|62903
USD||19865|567|2014-06-10|62903
USD||19866|568|2014-06-10|62903
USD||19867|569|2014-06-10|62903
USD||19868|570|2014-06-10|62903
USD||19869|571|2014-06-10|62903
USD||19870|572|2014-06-10|62903
USD||19871|573|2014-06-10|62903
USD||19872|574|2014-06-10|62903
USD||19873|575|2014-06-10|62903
USD||19874|576|2014-06-10|62903
USD||19875|577|2014-06-10|62903
USD||19876|578|2014-06-10|62903
USD||19877|579|2014-06-10|62903
USD||19878|580|2014-06-10|62903
USD||19879|581|2014-06-10|62903
USD||19880|582|2014-06-10|62903
USD||19881|583|2014-06-10|62903
USD||19882|584|2014-06-10|62903
USD||19883|585|2014-06-10|62903
USD||19884|586|2014-06-10|62903
USD||19885|587|2014-06-10|62903
USD||19886|588|2014-06-10|62903
USD||19887|589|2014-06-10|62903
USD||19888|590|2014-06-10|62903
USD||19889|591|2014-06-10|62903
USD||19890|592|2014-06-10|62903
USD||19891|593|2014-06-10|62903
USD||19892|594|2014-06-10|62903
USD||19893|595|2014-06-10|62903
USD||19894|596|2014-06-10|62903
USD||19895|597|2014-06-10|62903
USD||19896|598|2014-06-10|62903
USD||19897|599|2014-06-10|62903
USD||19898|600|2014-06-10|62903
USD||19899|601|2014-06-10|62903
USD||19900|602|2014-06-10|62903
USD||19901|603|2014-06-10|62903
USD||19902|604|2014-06-10|62903
USD||19903|605|2014-06-10|62903
USD||19904|606|2014-06-10|62903
USD||19905|607|2014-06-10|62903
USD||19906|608|2014-06-10|62903
USD||19907|609|2014-06-10|62903
USD||19908|610|2014-06-10|62903
USD||19909|611|2014-06-10|62903
USD||19910|612|2014-06-10|62903
USD||19911|613|2014-06-10|62903
USD||19912|614|2014-06-10|62903
USD||19913|615|2014-06-10|62903
USD||19914|616|2014-06-10|62903
USD||19915|617|2014-06-10|62903
USD||19916|618|2014-06-10|62903
USD||19917|619|2014-06-10|62903
USD||19918|620|2014-06-10|62903
USD||19919|621|2014-06-10|62903
USD||19920|622|2014-06-10|62903
USD||19921|623|2014-06-10|62903
USD||19922|624|2014-06-10|62903
USD||19923|625|2014-06-10|62903
USD||19924|626|2014-06-10|62903
USD||19925|627|2014-06-10|62903
USD||19926|628|2014-06-10|62903
USD||19927|629|2014-06-10|62903
USD||19928|630|2014-06-10|62903
