FundShareClass_Id|_Id|InvestmentVehicle_Id|DataEffectiveDT|DataObjectInstanceVersionKey
3469|F000003YLO|3469|2014-06-10|62903
3470|F000003YLT|3470|2014-06-10|62903
3471|F000003YLW|3471|2014-06-10|62903
3472|F000003YLY|3472|2014-06-10|62903
3473|F000003YM1|3473|2014-06-10|62903
3474|F000003YM3|3474|2014-06-10|62903
3475|F000003YM6|3475|2014-06-10|62903
3476|F000003YM9|3476|2014-06-10|62903
3477|F000003YMC|3477|2014-06-10|62903
3478|F000003YUP|3478|2014-06-10|62903
3479|F000003YUR|3479|2014-06-10|62903
3480|F000003Z19|3480|2014-06-10|62903
3481|F000003Z2Z|3481|2014-06-10|62903
3482|F000003ZDI|3482|2014-06-10|62903
3483|F000003ZHA|3483|2014-06-10|62903
3484|F000003ZZO|3484|2014-06-10|62903
3485|F000004067|3485|2014-06-10|62903
3486|F000004069|3486|2014-06-10|62903
3487|F0000040LX|3487|2014-06-10|62903
3488|F0000040LZ|3488|2014-06-10|62903
3489|F0000040M1|3489|2014-06-10|62903
3490|F0000040SS|3490|2014-06-10|62903
3491|F0000040SU|3491|2014-06-10|62903
3492|F0000040SW|3492|2014-06-10|62903
3493|F0000040SY|3493|2014-06-10|62903
3494|F0000040T0|3494|2014-06-10|62903
3495|F0000040T2|3495|2014-06-10|62903
3496|F000004143|3496|2014-06-10|62903
3497|F0000043M3|3497|2014-06-10|62903
3498|F0000043M5|3498|2014-06-10|62903
3499|F0000043P1|3499|2014-06-10|62903
3500|F0000043P3|3500|2014-06-10|62903
3501|F00000RG3Y|3501|2014-06-10|62903
3502|F00000RG40|3502|2014-06-10|62903
3503|F00000RT7R|3503|2014-06-10|62903
3504|F00000RT7T|3504|2014-06-10|62903
3505|F00000RT7V|3505|2014-06-10|62903
3506|F00000RZ6E|3506|2014-06-10|62903
3507|F00000RZ6G|3507|2014-06-10|62903
3508|F00000RZ6I|3508|2014-06-10|62903
3509|F00000RZ6K|3509|2014-06-10|62903
3510|F00000RZ6M|3510|2014-06-10|62903
3511|F00000RZ6Q|3511|2014-06-10|62903
3512|F00000S6BJ|3512|2014-06-10|62903
3513|F00000S6BL|3513|2014-06-10|62903
3514|F00000S6BN|3514|2014-06-10|62903
3515|F00000S6BP|3515|2014-06-10|62903
3516|F00000S6BR|3516|2014-06-10|62903
3517|F00000S6BT|3517|2014-06-10|62903
3518|F00000S6BV|3518|2014-06-10|62903
3519|F00000S6BX|3519|2014-06-10|62903
3520|F00000S6BZ|3520|2014-06-10|62903
3521|F00000S6C1|3521|2014-06-10|62903
3522|F00000S6C3|3522|2014-06-10|62903
3523|F00000S6C5|3523|2014-06-10|62903
3524|F00000S756|3524|2014-06-10|62903
3525|F00000S759|3525|2014-06-10|62903
3526|F00000S75B|3526|2014-06-10|62903
3527|F00000S79C|3527|2014-06-10|62903
3528|F00000S79E|3528|2014-06-10|62903
3529|F00000S79G|3529|2014-06-10|62903
3530|F00000S79I|3530|2014-06-10|62903
3531|F00000S8CS|3531|2014-06-10|62903
3532|F00000S8CU|3532|2014-06-10|62903
3533|F00000S8CW|3533|2014-06-10|62903
3534|F00000S8CY|3534|2014-06-10|62903
3535|F00000S8D0|3535|2014-06-10|62903
3536|F00000S8D2|3536|2014-06-10|62903
3537|F00000S8D4|3537|2014-06-10|62903
3538|F00000S8D6|3538|2014-06-10|62903
3539|F00000S8DA|3539|2014-06-10|62903
3540|F00000S8DC|3540|2014-06-10|62903
3541|F00000S8DE|3541|2014-06-10|62903
3542|F00000S91W|3542|2014-06-10|62903
3543|F00000S91Y|3543|2014-06-10|62903
3544|F00000S920|3544|2014-06-10|62903
3545|F00000S922|3545|2014-06-10|62903
3546|F00000SCK1|3546|2014-06-10|62903
3547|F00000SCK3|3547|2014-06-10|62903
3548|F00000SCK6|3548|2014-06-10|62903
3549|F00000SCK8|3549|2014-06-10|62903
3550|F00000SCKA|3550|2014-06-10|62903
3551|F000000MME|3551|2014-06-10|62903
3552|F000000MMG|3552|2014-06-10|62903
3553|F000000MMI|3553|2014-06-10|62903
