Portfolio_Id|_CurrencyId|_ExternalId|PortfolioList_Id|DataEffectiveDT|DataObjectInstanceVersionKey
2734|JPY|FSUSA09V4C|2734|2014-06-10|62903
2735|JPY|FSUSA0APOX|2735|2014-06-10|62903
2736|JPY|FSUSA0APP0|2736|2014-06-10|62903
2737|JPY|FSUSA0APP1|2737|2014-06-10|62903
2738|JPY|FSUSA09V9H|2738|2014-06-10|62903
2739|JPY|FSUSA09V9J|2739|2014-06-10|62903
2740|JPY|FSUSA09V9M|2740|2014-06-10|62903
2741|JPY|FSUSA09V9O|2741|2014-06-10|62903
2742|JPY|FSUSA09VFM|2742|2014-06-10|62903
2743|JPY|FSUSA09VG9|2743|2014-06-10|62903
2744|JPY|FSUSA09VFU|2744|2014-06-10|62903
2745|JPY|FSUSA09X2V|2745|2014-06-10|62903
2746|JPY|FSUSA09X2X|2746|2014-06-10|62903
2747|JPY|FSUSA09X2Z|2747|2014-06-10|62903
2748|JPY|FSUSA0APP4|2748|2014-06-10|62903
2749|JPY|FSUSA0APP6|2749|2014-06-10|62903
2750|JPY|FSUSA0APP7|2750|2014-06-10|62903
2751|JPY|FSUSA09X8Y|2751|2014-06-10|62903
2752|JPY|FSUSA09X8V|2752|2014-06-10|62903
2753|JPY|FSUSA09X91|2753|2014-06-10|62903
2754|JPY|FSUSA09X95|2754|2014-06-10|62903
2755|JPY|FSUSA09XOW|2755|2014-06-10|62903
2756|JPY|FSUSA09ZHI|2756|2014-06-10|62903
2757|JPY|FSUSA0A13P|2757|2014-06-10|62903
2758|JPY|F000003TLW|2758|2014-06-10|62903
2759|JPY|FSUSA0A19Q|2759|2014-06-10|62903
2760|JPY|FSUSA0A1AL|2760|2014-06-10|62903
2761|JPY|FSUSA0A1AO|2761|2014-06-10|62903
2762|JPY|FSUSA0APQJ|2762|2014-06-10|62903
2763|JPY|FSUSA0AKE6|2763|2014-06-10|62903
2764|JPY|FSUSA08J4O|2764|2014-06-10|62903
2765|JPY|FSUSA08K0C|2765|2014-06-10|62903
2766|JPY|FSUSA0AP3U|2766|2014-06-10|62903
2767|JPY|FSUSA08K0E|2767|2014-06-10|62903
2768|JPY|FSUSA08K7V|2768|2014-06-10|62903
2769|JPY|FSUSA08K84|2769|2014-06-10|62903
2770|JPY|FSUSA08K8K|2770|2014-06-10|62903
2771|JPY|FSUSA08K7E|2771|2014-06-10|62903
2772|JPY|FSUSA08K6R|2772|2014-06-10|62903
2773|JPY|FSUSA08K8V|2773|2014-06-10|62903
2774|JPY|FSUSA08K6X|2774|2014-06-10|62903
2775|JPY|FSUSA08K8Z|2775|2014-06-10|62903
2776|JPY|FSUSA08K87|2776|2014-06-10|62903
2777|JPY|FSUSA08K83|2777|2014-06-10|62903
2778|JPY|FSUSA0AP4T|2778|2014-06-10|62903
2779|JPY|FSUSA08K7R|2779|2014-06-10|62903
2780|JPY|FSUSA08K70|2780|2014-06-10|62903
2781|JPY|FSUSA08K7X|2781|2014-06-10|62903
2782|JPY|FSUSA08K7C|2782|2014-06-10|62903
2783|JPY|FSUSA08K6S|2783|2014-06-10|62903
2784|JPY|FSUSA08K8R|2784|2014-06-10|62903
2785|JPY|FSUSA08K85|2785|2014-06-10|62903
2786|JPY|FSUSA08K6P|2786|2014-06-10|62903
2787|JPY|FSUSA08K7P|2787|2014-06-10|62903
2788|JPY|FSUSA08K7N|2788|2014-06-10|62903
2789|JPY|FSUSA08K7O|2789|2014-06-10|62903
2790|JPY|FSUSA08K7M|2790|2014-06-10|62903
2791|JPY|FSUSA0AP4D|2791|2014-06-10|62903
2792|JPY|FSUSA08K8E|2792|2014-06-10|62903
2793|JPY|FSUSA08K7J|2793|2014-06-10|62903
2794|JPY|FSUSA08K90|2794|2014-06-10|62903
2795|JPY|FSUSA08K8N|2795|2014-06-10|62903
2796|JPY|FSUSA08K7Y|2796|2014-06-10|62903
2797|JPY|FSUSA08K9Z|2797|2014-06-10|62903
2798|JPY|FSUSA0AH5Q|2798|2014-06-10|62903
2799|JPY|FSUSA08KA2|2799|2014-06-10|62903
2800|JPY|FSUSA08K9X|2800|2014-06-10|62903
2801|JPY|FSUSA08KAP|2801|2014-06-10|62903
2802|JPY|FSUSA08KAQ|2802|2014-06-10|62903
2803|JPY|FSUSA08JAR|2803|2014-06-10|62903
2804|JPY|FSUSA08JAU|2804|2014-06-10|62903
2805|JPY|FSUSA08JAT|2805|2014-06-10|62903
2806|JPY|FSUSA08JAP|2806|2014-06-10|62903
2807|JPY|FSUSA08J2Y|2807|2014-06-10|62903
2808|JPY|FSUSA08J30|2808|2014-06-10|62903
2809|JPY|FSUSA08J2W|2809|2014-06-10|62903
2810|JPY|FSUSA08KAV|2810|2014-06-10|62903
2811|JPY|FSUSA08KB8|2811|2014-06-10|62903
2812|JPY|FSUSA08KAT|2812|2014-06-10|62903
2813|JPY|FSUSA08JN8|2813|2014-06-10|62903
2814|JPY|FSUSA08JNB|2814|2014-06-10|62903
2815|JPY|FSUSA0AJLG|2815|2014-06-10|62903
2816|JPY|FSUSA08JU0|2816|2014-06-10|62903
2817|JPY|FSUSA0AP2H|2817|2014-06-10|62903
2818|JPY|FSUSA08JY3|2818|2014-06-10|62903
2819|JPY|FSUSA08JSF|2819|2014-06-10|62903
2820|JPY|FSUSA0AJSR|2820|2014-06-10|62903
2821|JPY|FSUSA08JTL|2821|2014-06-10|62903
2822|JPY|FSUSA08JSE|2822|2014-06-10|62903
2823|JPY|FSUSA08JV2|2823|2014-06-10|62903
2824|JPY|FSUSA08JY6|2824|2014-06-10|62903
2825|JPY|FSUSA0AJBI|2825|2014-06-10|62903
2826|JPY|FSUSA08JSR|2826|2014-06-10|62903
2827|JPY|FSUSA0ALXY|2827|2014-06-10|62903
2828|JPY|FSUSA08JS6|2828|2014-06-10|62903
2829|JPY|FSUSA08JUJ|2829|2014-06-10|62903
2830|JPY|FSUSA0AME3|2830|2014-06-10|62903
2831|JPY|FSUSA08JY4|2831|2014-06-10|62903
2832|JPY|FSUSA08JT8|2832|2014-06-10|62903
2833|JPY|FSUSA08JSQ|2833|2014-06-10|62903
2834|JPY|FSUSA08JW3|2834|2014-06-10|62903
2835|JPY|FSUSA0AM0M|2835|2014-06-10|62903
2836|JPY|FSUSA08JSC|2836|2014-06-10|62903
